Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM
60,77,44,4,1,136.36,3,run out,1,v Pakistan,Dubai (DSC),4/9/22,UAE,T20I,Yes
0,6,4,0,0,0,3,bowled,1,v Sri Lanka,Dubai (DSC),6/9/22,UAE,T20I,No
122*,90,61,12,6,200,2,not out,1,v Afghanistan,Dubai (DSC),8/9/22,UAE,T20I,Yes
2,12,7,0,0,28.57,3,caught,1,v Australia,Mohali,9/20/22,India,T20I,No
11,67,6,2,0,183.33,3,bowled,2,v Australia,Nagpur,9/23/22,India,T20I,No
63,89,48,3,4,131.25,3,caught,2,v Australia,Hyderabad (Deccan),9/25/22,India,T20I,Yes
3,19,9,0,0,33.33,3,caught,2,v South Africa,Thiruvananthapuram,9/28/22,India,T20I,No
49*,56,28,7,1,175,3,not out,1,v South Africa,Guwahati,2/10/22,India,T20I,No
82*,98,53,6,4,154.71,3,not out,2,v Pakistan,Melbourne,10/23/22,Australia,T20I,Yes
62*,79,44,3,2,140.9,3,not out,1,v Netherlands,Sydney,10/27/22,Australia,T20I,Yes
12,13,11,2,0,109.09,3,caught,1,v South Africa,Perth,10/30/22,Australia,T20I,No
64*,84,44,8,1,145.45,3,not out,1,v Bangladesh,Adelaide,2/11/22,Australia,T20I,Yes
26,36,25,2,0,104,3,caught,1,v Zimbabwe,Melbourne,6/11/22,Australia,T20I,No
4,13,10,1,0,40,5,caught,1,v West Indies,Kingston,6/20/11,West Indies,Test,No
15,72,54,2,0,27.77,5,caught,3,v West Indies,Kingston,6/20/11,West Indies,Test,No
0,1,2,0,0,0,5,caught,1,v West Indies,Bridgetown,6/28/11,West Indies,Test,No
27,118,107,1,1,25.23,5,caught,3,v West Indies,Bridgetown,6/28/11,West Indies,Test,No
30,62,53,2,0,56.6,5,caught,2,v West Indies,Roseau,6/7/11,West Indies,Test,No
DNB,-,-,-,-,-,-,-,4,v West Indies,Roseau,6/7/11,West Indies,Test,No
52,154,111,5,0,46.84,6,caught,2,v West Indies,Wankhede,11/22/11,India,Test,No
63,136,114,3,1,55.26,6,caught,4,v West Indies,Wankhede,11/22/11,India,Test,No
11,28,21,1,0,52.38,7,caught,2,v Australia,Melbourne,12/26/11,Australia,Test,No
0,3,1,0,0,0,6,lbw,4,v Australia,Melbourne,12/26/11,Australia,Test,No
23,50,41,3,0,56.09,6,caught,1,v Australia,Sydney,3/1/12,Australia,Test,No
